emotion;hashtag;value
anticipation;waitin;1,24629E+14
anticipation;link;1,245E+14
anticipation;psychic;1,24423E+12
anticipation;artists;1,24286E+14
anticipation;verbal;1,23895E+14
anticipation;pitchers;1,23895E+14
anticipation;peek;1,23895E+14
anticipation;climate;1,23895E+14
anticipation;#parenting;1,23895E+14
anticipation;arkansas;1,23895E+14
anticipation;detective;1,23895E+14
anticipation;#thebachelor;1,23895E+14
anticipation;mystery;1,23685E+14
anticipation;nerdy;1,23418E+13
anticipation;spoilers;1,23418E+13
anticipation;income;1,23418E+13
anticipation;owe;1,23196E+14
anticipation;#history;1,23196E+14
anticipation;hype;1,23196E+14
anticipation;jewish;1,23196E+14
anticipation;details;1,22984E+14
anticipation;occur;1,22588E+14
anticipation;lemons;1,22588E+14
anticipation;#scandal;1,22588E+14
anticipation;53;1,22588E+14
anticipation;kate;1,22588E+14
anticipation;brewing;1,22588E+14
anticipation;mercedes;1,22588E+14
anticipation;expectation;1,22588E+14
anticipation;scoop;1,22588E+14
anticipation;serial;1,21891E+14
anticipation;preparation;1,21891E+14
anticipation;gather;1,21583E+14
anticipation;afro;1,21583E+14
anticipation;sperm;1,21583E+14
anticipation;#very;1,21583E+14
anticipation;#psychology;1,21583E+14
anticipation;#odd;1,21583E+14
anticipation;countdown;1,21437E+14
anticipation;revealed;1,21409E+14
anticipation;vine;1,20786E+14
anticipation;sample;1,20786E+14
anticipation;patiently;1,20512E+14
anticipation;brotha;1,19602E+14
anticipation;exotic;1,19602E+14
anticipation;3days;1,19602E+14
anticipation;nexus;1,19602E+14
anticipation;prisoners;1,19602E+14
anticipation;#england;1,19602E+14
anticipation;hank;1,19602E+14
anticipation;insects;1,19602E+14
anticipation;missions;1,19602E+14
anticipation;teo;1,19602E+14
anticipation;competitions;1,19602E+14
anticipation;jepsen;1,19602E+14
anticipation;developing;1,19602E+14
anticipation;85%;1,19602E+14
anticipation;#glory;1,19602E+14
anticipation;messi;1,19367E+14
anticipation;launch;1,19367E+14
anticipation;shipped;1,19293E+14
anticipation;#fashion;1,19151E+13
anticipation;catfish;1,19092E+14
anticipation;releasing;1,19016E+14
anticipation;29th;1,18766E+14
anticipation;r&amp;1,18766E+14
anticipation;featuring;1,18766E+14
anticipation;explore;1,18766E+14
anticipation;connections;1,18766E+14
anticipation;horoscopes;1,18766E+14
anticipation;tent;1,18766E+14
anticipation;trailer;1,18433E+14
anticipation;odds;1,18332E+14
anticipation;arsene;1,18143E+14
anticipation;gta;1,18143E+14
anticipation;lsat;1,18143E+14
anticipation;ncaa;1,18143E+14
anticipation;loans;1,18143E+14
anticipation;doomsday;1,18143E+14
anticipation;rhymes;1,18143E+14
anticipation;identical;1,18143E+14
anticipation;contacted;1,18143E+14
anticipation;preview;1,17887E+14
anticipation;owes;1,17661E+14
anticipation;format;1,17661E+14
anticipation;#waiting;1,17577E+14
anticipation;setup;1,17277E+14
anticipation;subtweets;1,16964E+14
anticipation;14th;1,16296E+14
anticipation;features;1,16296E+14
anticipation;january;1,15867E+14
anticipation;arrive;1,15782E+14
anticipation;combined;1,15487E+14
anticipation;marijuana;1,15129E+14
anticipation;pawn;1,13887E+14
anticipation;cassidy;1,13887E+14
anticipation;dealer;1,13887E+14
anticipation;#soon;1,13887E+14
anticipation;unchained;1,13887E+14
anticipation;closely;1,13887E+14
anticipation;nominations;1,13887E+14
anticipation;arrival;1,13887E+14
anticipation;fedex;1,13887E+14
anticipation;sebastian;1,13887E+14
anticipation;ambition;1,13887E+14
anticipation;attracted;1,13887E+14
anticipation;pirate;1,13887E+14
anticipation;#countdown;1,13887E+14
anticipation;trivia;1,13887E+14
anticipation;bidding;1,13887E+14
anticipation;cambridge;1,13887E+14
anticipation;named;1,13887E+14
anticipation;hong;1,13887E+14
anticipation;cent;1,13887E+14
anticipation;alliance;1,13887E+14
anticipation;william;1,13887E+14
anticipation;faux;1,13887E+14
anticipation;#justice;1,13887E+14
anticipation;#intense;1,13887E+14
anticipation;photographers;1,13887E+14
anticipation;communications;1,13887E+14
anticipation;immense;1,13887E+14
anticipation;watermelon;1,13887E+14
anticipation;horoscope;1,13887E+14
anticipation;discussed;1,13887E+14
anticipation;canteen;1,13887E+14
anticipation;largest;1,13887E+14
anticipation;kinky;1,13887E+14
anticipation;#halo4;1,13887E+14
anticipation;mccartney;1,13887E+14
anticipation;subtweeting;1,13887E+14
anticipation;represents;1,13887E+14
anticipation;stoked;1,1285E+14
anticipation;bradford;1,11825E+14
anticipation;podcast;1,11689E+13
anticipation;thrones;1,11534E+14
anticipation;betting;1,11355E+14
anticipation;releases;1,11147E+14
anticipation;iii;1,11147E+14
anticipation;nutrition;1,11147E+14
anticipation;portland;1,10901E+13
anticipation;marshmallows;1,10901E+13
anticipation;nuclear;1,10608E+14
anticipation;traditional;1,10608E+14
anticipation;pastor;1,10438E+14
anticipation;exciting;1,10315E+13
anticipation;ohhhhh;1,1025E+13
anticipation;striker;1,1025E+13
anticipation;9/11;1,1025E+13
anticipation;positions;1,1025E+13
anticipation;cocktail;1,1025E+13
anticipation;winners;1,1004E+14
anticipation;collecting;1,09804E+14
anticipation;marketing;1,09804E+14
anticipation;yawning;1,09804E+14
anticipation;harbaugh;1,09804E+14
anticipation;mankind;1,09804E+14
anticipation;hoops;1,09804E+14
anticipation;curiosity;1,09804E+14
anticipation;premier;1,09538E+14
anticipation;prem;1,09235E+14
anticipation;awsome;1,09235E+14
anticipation;lifts;1,09235E+14
anticipation;letterman;1,09235E+14
anticipation;cork;1,09235E+14
anticipation;discussions;1,09235E+14
anticipation;hangin;1,09235E+14
anticipation;hanger;1,09235E+14
anticipation;egyptian;1,09235E+14
anticipation;dexter;1,08886E+14
anticipation;cece;1,08886E+14
anticipation;mill;1,08886E+14
anticipation;nasa;1,0848E+13
anticipation;stripper;1,0848E+13
anticipation;inter;1,0848E+13
anticipation;commented;1,0848E+13
anticipation;located;1,0848E+13
anticipation;maury;1,0848E+13
anticipation;mj;1,0848E+13
anticipation;#starwars;1,0848E+13
anticipation;mod;1,0848E+13
anticipation;#nopatience;1,0848E+13
anticipation;tic;1,0848E+13
anticipation;#dreaming;1,0848E+13
anticipation;relations;1,0848E+13
anticipation;independence;1,0848E+13
anticipation;jumpers;1,0848E+13
anticipation;interactions;1,0848E+13
anticipation;estimated;1,0848E+13
anticipation;wallace;1,0848E+13
anticipation;swimsuit;1,0848E+13
anticipation;luis;1,0848E+13
anticipation;28th;1,0848E+13
anticipation;confuses;1,0848E+13
anticipation;uconn;1,0848E+13
anticipation;christianity;1,0848E+13
